,Name,Address,Tel,Fax,Email,Schedule,Link
10,Diana-Apotheke,"Pater Gratian Leser Straße 4
7540 Güssing",+43-3322-42231,+43-3322-42231-30,service@apothekeguessing.at,"{'Montag:': '8:00 - 18:30', 'Dienstag:': '8:00 - 18:30', 'Mittwoch:': '8:00 - 18:30', 'Donnerstag:': '8:00 - 18:30', 'Freitag:': '8:00 - 18:30', 'Samstag:': '8:00 - 12:30'}",http://www.apothekenindex.at/apotheken/burgenland/guessing/21-diana-apotheke
11,Salvator-Apotheke,"Hauptplatz 14
7551 Stegersbach",+43-3326-52310,+43-3326-540484,salvatorapo@salvatorapo.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/guessing/37-salvator-apotheke
12,Salvator-Apotheke,"Hauptplatz 7
8380 Jennersdorf",+43-3329-45226,+43-3329-45226-22,office@stadtapotheke-jennersdorf.at,"{'Montag:': '8:00 - 12:30, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:30, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:30, 15:00 - 18:00', 'Freitag:': '8:00 - 12:30, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/jenersdorf/23-salvator-apotheke
13,Kloster-Apotheke,"Hauptstraße 34
7021 Baumgarten",+43-2686-20503,+43-2686-205033-0,kloster-apotheke@bnet.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/mattersburg/12-kloster-apotheke
14,Passage-Apotheke,"Hauptstraße 68
7201 Neudörfl",+43-2622-79260,+43-2622-79329, ,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/mattersburg/34-passage-apotheke
15,Kurbad-Apotheke,"Schulstraße 5
7202 Bad Sauerbrunn",+43-2625-32201,+43-2625-32201-30,kurbadapotheke@gmx.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/mattersburg/35-kurbad-apotheke
16,Salvator-Apotheke,"Hauptplatz 9
7210 Mattersburg",+43-2626-62447,+43-2626-62447-30,salvator.apo@speed.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/mattersburg/27-salvator-apotheke
17,Kloster-Apotheke,"Hauptstraße 60
7212 Forchtenstein",+43-2626-83510,+43-2626-83510-40,kloster.apo@speed.at,"{'Montag:': '8:00 - 12:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:00', 'Donnerstag:': '8:00 - 12:00, 14:00 - 18:00', 'Freitag:': '8:00 - 12:00, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/mattersburg/51-kloster-apotheke
18,Sebastian-Apotheke,"Loipersbacher Straße 2
7222 Rohrbach",+43-2626-63301,+43-2626-63301-4,sebastian-apo@telering.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/mattersburg/49-sebastian-apotheke
19,Salvator-Apotheke,"Hauptplatz 5
2421 Kittsee",+43-2143-2314,+43-2143-2314-6,apotheke@kittsee.at,"{'Montag:': '8:00 - 12:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:00, 14:00 - 18:00', 'Freitag:': '8:00 - 12:00, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/24-salvator-apotheke
20,Heide-Apotheke,"Obere Hauptstraße 26
2424 Zurndorf",+43-2147-2232,+43-2147-2232-4,apozudo@aon.at,"{'Montag:': '8:00 - 12:30, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:30, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:30, 15:00 - 18:00', 'Freitag:': '8:00 - 12:30, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/39-heide-apotheke
21,Bahnhof-Apotheke,"Bahnhofplatz 5
2460 Bruckneudorf",+43-2162-62317,+43-2162-62317-4,info@bahnhofapotheke.at,"{'Montag:': '8:00 - 18:00 ', 'Dienstag:': '8:00 - 18:00 ', 'Mittwoch:': '8:00 - 18:00 ', 'Donnerstag:': '8:00 - 18:00 ', 'Freitag:': '8:00 - 18:00 ', 'Samstag:': '8:00 - 12:00 '}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/13-bahnhof-apotheke
22,Apotheke Jois (Filialapotheke),"Bundesstr.12
7093 Jois",+43-2160-27076,+43-2160-27076-10,info@apothekejois.at,"{'Montag:': '8:00 - 12:00, 16:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 16:00 - 18:00', 'Mittwoch:': 'geschlossen', 'Donnerstag:': '8:00 - 12:00, 16:00 - 18:00', 'Freitag:': '8:00 - 12:00, 16:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/1295-apotheke-jois-filialapotheke
23,Mag.pharm. Job's Kreisapotheke,"Untere Hauptstraße 1
7100 Neusiedl am See",+43-2167-5031,+43-2167-5031-29,kreisapo@magjobs.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/29-magpharm-jobs-kreisapotheke
24,Sonnenland Apotheke,"Altenburger Straße 20
7100 Neusiedl am See",+43-2167-20703,+43-2167-20703-20,office@sonnenlandapo.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/45-sonnenland-apotheke
25,Pannonia Apotheke,"Neusiedler Straße 6 c
7111 Parndorf",+43-2166-20333,+43-2166-20333-4,apopado@aon.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/52-pannonia-apotheke
26,Apotheke im Fashion Outlet,"Gewerbestraße 4, Top 40/41
7111 Parndorf",+43-2166-20911,+43-2166-20911-15,office@fashionapotheke.at,"{'Montag:': '9:00 - 19:00', 'Dienstag:': '9:00 - 19:00', 'Mittwoch:': '9:00 - 19:00', 'Donnerstag:': '9:00 - 19:00', 'Freitag:': '9:00 - 19:00', 'Samstag:': '9:00 - 18:00'}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/1393-apotheke-im-fashion-outlet
27,Apotheke St. Martin,"Obere Hauptstraße 35
7122 Gols",+43-2173-2300,+43-2173-3420,info@apotheke-st-martin.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/46-apotheke-st-martin
28,Seewinkel-Apotheke,"Hauptstraße 17
7132 Frauenkirchen",+43-2172-2238,+43-2172-2238-20,info@seewinkel-apotheke.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/19-seewinkel-apotheke
29,Elisabeth-Apotheke,"Obere Hauptstraße 24
7142 Illmitz",+43-2175-2711,+43-2175-2711-14,leitung@elisabeth-apotheke.com,"{'Montag:': '8:00 - 12:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:00', 'Donnerstag:': '8:00 - 12:00, 14:00 - 18:00', 'Freitag:': '8:00 - 12:00, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/48-elisabeth-apotheke
30,Schutzengel-Apotheke,"Bahnstraße 16
7151 Wallern im Burgenland",+43-2174-2255,+43-2174-2255-6,parkapo@gmx.at,"{'Montag:': '8:00 - 13:00, 15:00 - 18:00', 'Dienstag:': '8:00 - 13:00, 15:00 - 18:00', 'Mittwoch:': '8:00 - 13:00, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:00', 'Freitag:': '8:00 - 12:00, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/neusiedl/38-schutzengel-apotheke
31,Apotheke Zum heiligen Geist,"Hauptstraße 15
7301 Deutschkreutz",+43-2613-80202,+43-2613-80202-17,apo.hl.geist@wellcom.at,"{'Montag:': '8:00 - 12:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:00', 'Freitag:': '8:00 - 12:00, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/oberpullendorf/14-apotheke-zum-heiligen-geist
32,Schloßapotheke Lackenbach,"Schloßgasse 29
7322 Lackenbach",+43-2619-8629,+43-2619-8629-99, ,"{'Montag:': '8:00 - 12:30, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 15:00 - 19:00', 'Mittwoch:': '8:00 - 12:00', 'Donnerstag:': '8:00 - 12:30, 15:00 - 18:00', 'Freitag:': '8:00 - 12:30, 15:00 - 19:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/oberpullendorf/50-schlossapotheke-lackenbach
33,Apotheke Zum schwarzen Adler,"Hauptstraße 54
7331 Weppersdorf",+43-2618-2892,+43-2618-2892-99, ,"{'Montag:': '8:00 - 12:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:00, 14:00 - 18:00', 'Freitag:': '8:00 - 12:00, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/oberpullendorf/25-apotheke-zum-schwarzen-adler
34,Apotheke Zum Mohren,"Schloßplatz 1
7350 Oberpullendorf",+43-2612-42339,+43-2612-42339-7,apotheke@apotheke-oberpullendorf.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/oberpullendorf/30-apotheke-zum-mohren
35,Apotheke Zur heiligen Margarete,"Hauptstraße 17
7442 Lockenhaus",+43-2616-2219,+43-2616-2219-15,viktor.schauer@aon.at,"{'Montag:': '8:00 - 12:00, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:00, 14:30 - 18:00', 'Freitag:': '8:00 - 12:00, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/oberpullendorf/26-apotheke-zur-heiligen-margarete
36,Kronen-Apotheke,"Schulgasse 5
7400 Oberwart",+43-3352-32371,+43-3352-32371-6,info@kronenapotheke.at,"{'Montag:': '7:30 - 18:30', 'Dienstag:': '7:30 - 18:30', 'Mittwoch:': '7:30 - 18:30', 'Donnerstag:': '7:30 - 18:30', 'Freitag:': '7:30 - 18:30', 'Samstag:': '7:30 - 13.00'}",http://www.apothekenindex.at/apotheken/burgenland/oberwart/31-kronen-apotheke
37,Bach - Apotheke Zum hl. Christophorus,"Grazer Straße 26
7400 Oberwart",+43-3352-33535,+43-3352-335356,bach-apotheke@aon.at,"{'Montag:': '7:30 - 18:30', 'Dienstag:': '7:30 - 18:30', 'Mittwoch:': '7:30 - 18:30', 'Donnerstag:': '7:30 - 18:30', 'Freitag:': '7:30 - 18:30', 'Samstag:': '7:30 - 13:00'}",http://www.apothekenindex.at/apotheken/burgenland/oberwart/47-bach-apotheke-zum-hl-christophorus
38,Apotheke Zum goldenen Kreuz,"Hauptstraße 328
7411 Markt Allhau",+43-3356-219,+43-3356-7454, ,"{'Montag:': '8:00 - 12:30, 14:30 - 18:30', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:30', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:30', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:30', 'Freitag:': '8:00 - 12:30, 14:30 - 18:30', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/oberwart/43-apotheke-zum-goldenen-kreuz
39,Apotheke Zum Salvator,"Hauptplatz 12 - 13
7423 Pinkafeld",+43-3357-42348,+43-3357-42348-17,office@apotheke-pinkafeld.at,"{'Montag:': '8:00 - 12:15, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:15, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:15, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:15, 14:30 - 18:00', 'Freitag:': '8:00 - 12:15, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/oberwart/32-apotheke-zum-salvator
40,Filial-Apotheke,"Parkstrasse 7
7431 Bad Tatzmannsdorf",+43-3353-8275,+43-3353-7526-4, ,"{'Montag:': '9:00 - 12:00, 15:00 - 18:00', 'Dienstag:': '9:00 - 12:00, 15:00 - 18:00', 'Mittwoch:': '9:00 - 12:00', 'Donnerstag:': '9:00 - 12:00, 15:00 - 18:00', 'Freitag:': '9:00 - 12:00, 15:00 - 18:00', 'Samstag:': 'geschlossen'}",http://www.apothekenindex.at/apotheken/burgenland/oberwart/40-filial-apotheke
41,Apotheke Zur göttlichen Vorsehung,"Gottlieb-August-Wimmer Platz 6
7432 Oberschützen",+43-3353-7526,+43-3353-75264, ,"{'Montag:': '8:00 - 12:10, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:10, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:10, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:10', 'Freitag:': '8:00 - 12:00, 15:00 - 18:00', 'Samstag:': '8:00 - 12:10'}",http://www.apothekenindex.at/apotheken/burgenland/oberwart/41-apotheke-zur-goettlichen-vorsehung
42,Engel-Apotheke,"Hauptplatz 2
7471 Rechnitz",+43-3363-79225,+43-3363-79225-30,engel@apotheke-rechnitz.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:30'}",http://www.apothekenindex.at/apotheken/burgenland/oberwart/44-engel-apotheke
43,Schutzengel-Apotheke,"Feldgasse 19
7503 Grosspetersdorf",+43-3362-2225,+43-3362-2225-4,schutzengel.apo@speed.at,"{'Montag:': '8:00 - 12:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:00, 14:00 - 18:00', 'Freitag:': '8:00 - 12:00, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/burgenland/oberwart/20-schutzengel-apotheke
44,Sonnen-Apotheke,"Poststraße 16
9551 Bodensdorf",+43-4243-8350,+43-4243-8350-72,office@apotheke-bodensdorf.at,"{'Montag:': '8:00 - 18:30', 'Dienstag:': '8:00 - 18:30', 'Mittwoch:': '8:00 - 18:30', 'Donnerstag:': '8:00 - 18:30', 'Freitag:': '8:00 - 18:30', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/feldkirchen/979-sonnen-apotheke
45,Vitalis-Apotheke,"Flurweg 7
9560 Feldkirchen",+43-4276-29656,+43-4276-29656-30,office@vitalis-apotheke.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/feldkirchen/998-vitalis-apotheke
46,Stadt-Apotheke,"10. Oktober-Straße 19
9560 Feldkirchen",+43-4276-3572,+43-4276-3572-16,office@diestadtapotheke.at,"{'Montag:': '8:00 - 18:30', 'Dienstag:': '8:00 - 18:30', 'Mittwoch:': '8:00 - 18:30', 'Donnerstag:': '8:00 - 18:30', 'Freitag:': '8:00 - 18:30', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/feldkirchen/976-stadt-apotheke
47,Salvator-Apotheke,"Hauptplatz 3
9560 Feldkirchen",+43-4276-2110,+43-4276-7814,salvatorapotheke@gaskin.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/feldkirchen/919-salvator-apotheke
48,Gailtal Apotheke,"Gösseringlände 7
9620 Hermagor",+43-4282-25381,+43-4282-25381-4,gailtalapotheke@aon.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/hermagor/995-gailtal-apotheke
49,Adler-Apotheke,"Hauptstraße 4
9620 Hermagor",+43-4282-2066,+43-4282-2066-4,adlerapo-hermagor@aon.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/hermagor/924-adler-apotheke
50,Apotheke Zum heiligen Josef,"Kötschach 425
9640 Kötschach",+43-4715-217,+43-4715-217-10,apotheke@koetschach.at,"{'Montag:': '8:00 - 12:00, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:00, 14:30 - 18:00', 'Freitag:': '8:00 - 12:00, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/hermagor/932-apotheke-zum-heiligen-josef
51,Moosburg-Apotheke,"Feldkirchner Straße 2
9062 Moosburg",+43-4272-82085,+43-4272-82085-5,office@apotheke-moosburg.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-land/1002-moosburg-apotheke
52,Virunum Apotheke,"Bahnweg 1c
9063 Maria Saal",+43-4223-20090,+43-4223-20090-20,virunum@apotheke-mariasaal.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/klagenfurt-land/1371-virunum-apotheke
